episode,step,cluster_id,selected_uav_id,selected_uav_rate_bps,match,success_probability
4,21,0,0,58759236.32934793,1,1.0
4,21,1,3,56422433.05976422,1,1.0
4,21,2,7,73093434.24510747,1,1.0
4,21,3,10,60744866.17051769,1,1.0
4,22,0,2,92611293.23767336,1,1.0
4,22,1,3,89088313.22003947,1,1.0
4,22,2,8,80246680.52809358,1,1.0
4,22,3,10,98192985.57456484,1,1.0
4,23,0,2,74424328.52292924,1,1.0
4,23,1,3,105414601.3224692,1,1.0
4,23,2,7,70736737.42635684,1,1.0
4,23,3,10,69675777.56893812,1,1.0
5,0,0,2,77445604.8084325,1,1.0
5,0,1,3,57034750.96798763,1,1.0
5,0,2,8,76470438.67796394,1,1.0
5,0,3,10,75286643.7529873,1,1.0
5,1,0,2,78321141.4421106,1,1.0
5,1,1,3,75543893.88662292,1,1.0
5,1,2,7,82091129.88156952,1,1.0
5,1,3,10,86498514.66606702,1,1.0
5,2,0,1,60681682.88760315,1,1.0
5,2,1,3,69185851.7791013,1,1.0
5,2,2,8,64152871.77045113,1,1.0
5,2,3,10,86748244.25186805,1,1.0
5,3,0,2,110242427.90333661,1,1.0
5,3,1,3,68250666.0314266,1,1.0
5,3,2,6,73329902.22723739,1,1.0
5,3,3,10,84975390.85372557,1,1.0
5,4,0,0,53541135.647328556,1,1.0
5,4,1,3,95141907.59119323,1,1.0
5,4,2,8,63419965.41631995,1,1.0
5,4,3,10,94158836.02719076,1,1.0
5,5,0,0,96968199.17103161,1,1.0
5,5,1,3,86026366.05351786,1,1.0
5,5,2,8,85905040.94144088,1,1.0
5,5,3,10,79974476.38440605,1,1.0
5,6,0,2,71744386.21810584,1,1.0
5,6,1,3,112852950.4840995,1,1.0
5,6,2,8,89577103.18658179,1,1.0
5,6,3,11,61480633.734330975,1,1.0
5,7,0,2,65228699.03790412,1,1.0
5,7,1,3,60284172.23113424,1,1.0
5,7,2,7,69464608.93893866,1,1.0
5,7,3,10,89486599.63510373,1,1.0
5,8,0,2,73514813.16795506,1,1.0
5,8,1,4,109354407.84376308,1,1.0
5,8,2,8,90014973.90132017,1,1.0
5,8,3,10,71769696.03799881,1,1.0
5,9,0,2,73142560.22965138,1,1.0
5,9,1,3,73620881.34741725,1,1.0
5,9,2,7,81787614.75909497,1,1.0
5,9,3,10,79317444.67753172,1,1.0
5,10,0,2,80067770.70531125,1,1.0
5,10,1,3,62424890.23096815,1,1.0
5,10,2,7,168014690.01037756,1,1.0
5,10,3,10,126936874.65291367,1,1.0
5,11,0,2,83701461.07480703,1,1.0
5,11,1,3,79044895.85386181,1,1.0
5,11,2,8,84558425.61417827,1,1.0
5,11,3,11,77543795.25387506,1,1.0
5,12,0,2,79771110.83590232,1,1.0
5,12,1,4,78968661.99007104,1,1.0
5,12,2,7,66269692.18299531,1,1.0
5,12,3,10,72014197.22301978,1,1.0
5,13,0,0,66674498.61808355,1,1.0
5,13,1,3,66022666.825005375,1,1.0
5,13,2,7,65521313.25037886,1,1.0
5,13,3,10,69983218.43794678,1,1.0
5,14,0,2,86029549.50192781,1,1.0
5,14,1,4,82741353.37588689,1,1.0
5,14,2,8,67123772.20741384,1,1.0
5,14,3,10,86524206.05024962,1,1.0
5,15,0,2,75983124.77461863,1,1.0
5,15,1,3,81874240.82375966,1,1.0
5,15,2,8,84490663.3664298,1,1.0
5,15,3,10,95433146.58595401,1,1.0
5,16,0,2,109124516.84177352,1,1.0
5,16,1,4,54989467.50164622,1,1.0
5,16,2,7,64297825.371522374,1,1.0
5,16,3,11,63109965.14518354,1,1.0
5,17,0,2,71565387.3048827,1,1.0
5,17,1,3,119902643.952788,1,1.0
5,17,2,8,54247762.68960221,1,1.0
5,17,3,10,61132372.96668811,1,1.0
5,18,0,0,64047122.84715275,1,1.0
5,18,1,4,76079036.97647354,1,1.0
5,18,2,8,60916596.387055665,1,1.0
5,18,3,11,100328268.79226181,1,1.0
5,19,0,2,65611702.67404477,1,1.0
5,19,1,5,70302464.25259992,1,1.0
5,19,2,8,85155479.7019119,1,1.0
5,19,3,10,109366020.46694592,1,1.0
5,20,0,1,67160219.23912242,1,1.0
5,20,1,3,81511793.77210808,1,1.0
5,20,2,8,60078537.20248694,1,1.0
5,20,3,10,73945442.19446076,1,1.0
5,21,0,2,89377295.90253836,1,1.0
5,21,1,4,68121575.6306092,1,1.0
5,21,2,8,85193189.48833847,1,1.0
5,21,3,10,71553014.54113425,1,1.0
5,22,0,2,63861932.45162218,1,1.0
5,22,1,4,80483538.14182386,1,1.0
5,22,2,7,68977494.81036793,1,1.0
5,22,3,10,75438976.63911662,1,1.0
5,23,0,2,95140129.02580827,1,1.0
5,23,1,4,82534189.34604992,1,1.0
5,23,2,8,70622842.84163345,1,1.0
5,23,3,10,73663906.93848044,1,1.0
6,0,0,2,84741227.66429709,1,1.0
6,0,1,4,65040819.392781615,1,1.0
6,0,2,8,69142087.46085593,1,1.0
6,0,3,10,102516147.3619462,1,1.0
6,1,0,2,63582598.6813607,1,1.0
6,1,1,3,155126363.02812442,1,1.0
6,1,2,8,74469911.36825596,1,1.0
6,1,3,10,90635227.18629566,1,1.0
6,2,0,0,64766315.01143751,1,1.0
6,2,1,4,69281871.00005226,1,1.0
6,2,2,7,65096473.20756544,1,1.0
6,2,3,11,64747525.770184994,1,1.0
6,3,0,2,55867488.191613756,1,1.0
6,3,1,3,84555588.12305057,1,1.0
6,3,2,8,68383233.98224075,1,1.0
6,3,3,10,66699083.071411155,1,1.0
6,4,0,2,85308884.77898735,1,1.0
6,4,1,3,73701764.47792803,1,1.0
6,4,2,7,89542637.65943138,1,1.0
6,4,3,10,84203635.28376251,1,1.0
6,5,0,0,128402894.63557547,1,1.0
6,5,1,3,62866120.16186346,1,1.0
6,5,2,8,59574948.1428475,1,1.0
6,5,3,10,78271994.4965105,1,1.0
6,6,0,2,64435959.500569366,1,1.0
6,6,1,3,85824826.01803938,1,1.0
6,6,2,8,78163283.986357,1,1.0
6,6,3,10,64347009.41667699,1,1.0
6,7,0,0,68936449.9267663,1,1.0
6,7,1,4,70148284.76334466,1,1.0
6,7,2,6,80802262.49104078,1,1.0
6,7,3,11,107319812.1331555,1,1.0
6,8,0,2,65814631.86294573,1,1.0
6,8,1,3,58934056.520755894,1,1.0
6,8,2,8,97197552.3634302,1,1.0
6,8,3,10,66447351.13864623,1,1.0
6,9,0,0,64251299.3878775,1,1.0
6,9,1,4,59805307.84767126,1,1.0
6,9,2,8,56156343.63960196,1,1.0
6,9,3,10,77763205.06925169,1,1.0
6,10,0,2,92373463.59790714,1,1.0
6,10,1,3,75198521.45733324,1,1.0
6,10,2,7,57279536.97840474,1,1.0
6,10,3,10,78053900.51316626,1,1.0
6,11,0,0,77673685.66467825,1,1.0
6,11,1,3,74217906.0649258,1,1.0
6,11,2,7,67915614.74100767,1,1.0
6,11,3,11,82422427.41537434,1,1.0
6,12,0,2,65559132.45317189,1,1.0
6,12,1,3,78866152.1454691,1,1.0
6,12,2,6,51857258.19675901,1,1.0
