episode,step,veh_id,T_tot_ms,deadline_ms,violation
1,21,9,0.207670117703428,250,0
1,21,10,23.8062088226633,250,0
1,21,11,90.4962751203276,250,0
1,21,12,52.3038989944976,250,0
1,21,13,1.18016052264348,250,0
1,21,14,8.75486726594488,250,0
1,21,15,15.7580275154805,250,0
1,22,0,0.622144577800007,250,0
1,22,1,51.2207403803829,250,0
1,22,2,92.9764023748346,250,0
1,22,3,14.2753462630802,250,0
1,22,4,32.2106198278211,250,0
1,22,5,10.1052700992594,250,0
1,22,6,32.1968350887149,250,0
1,22,7,26.2566741393794,250,0
1,22,8,3.77872271387518,250,0
1,22,9,14.3885340382251,250,0
1,22,10,35.8477052861335,250,0
1,22,11,50.1374252253387,250,0
1,22,12,250,250,0
1,22,13,9.20114265907194,250,0
1,22,14,35.0428755923444,250,0
1,22,15,18.1112781639479,250,0
1,23,0,1.69371265404476,250,0
1,23,1,3.00291733061061,250,0
1,23,2,11.6384164938767,250,0
1,23,3,16.6668461832721,250,0
1,23,4,168.193390409639,250,0
1,23,5,12.7566589571029,250,0
1,23,6,19.4153022927354,250,0
1,23,7,46.3444754544718,250,0
1,23,8,13.3693385809797,250,0
1,23,9,18.3406264225644,250,0
1,23,10,191.082989714849,250,0
1,23,11,68.3042488221433,250,0
1,23,12,14.010649403681,250,0
1,23,13,2.00969946975605,250,0
1,23,14,51.200378896919,250,0
1,23,15,152.749589302437,250,0
2,0,0,250,250,0
2,0,1,250,250,0
2,0,2,250,250,0
2,0,3,250,250,0
2,0,4,250,250,0
2,0,5,250,250,0
2,0,6,250,250,0
2,0,7,250,250,0
2,0,8,250,250,0
2,0,9,250,250,0
2,0,10,250,250,0
2,0,11,250,250,0
2,0,12,250,250,0
2,0,13,250,250,0
2,0,14,250,250,0
2,0,15,250,250,0
2,1,0,16.6950959688468,250,0
2,1,1,5.17125331248844,250,0
2,1,2,8.80751792998126,250,0
2,1,3,34.0426101299807,250,0
2,1,4,4.12719821125258,250,0
2,1,5,18.5986775138527,250,0
2,1,6,2.93111552332239,250,0
2,1,7,14.2832817843075,250,0
2,1,8,16.7359217242818,250,0
2,1,9,85.2249021744212,250,0
2,1,10,31.0938553606427,250,0
2,1,11,53.1486092898584,250,0
